Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Makani Pualani,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,92%
Malia Maui,Alcohol,20%,20%,30%,30%,"50,000,000",0%,91%
Keala Leilani,Automotive,20%,25%,30%,25%,"50,000,000",0%,90%
Kale Kawai,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,89%
 Lokelani Urima,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,99%
Loni Leimomi,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,91%
Keanu Kamaka,Financial Services,20%,28%,25%,25%,"2,000,000",0%,94%
Naina Bawa,Oil and Gas,25%,25%,25%,25%,"500,000",0%,97%
Jaanvi Chowdhury,Agriculture,15%,20%,35%,30%,"2,000,000",0%,100%
Diya Joshi,Security Software,22%,28%,25%,25%,"500,000",0%,90%
Fatima Grover,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,97%
Divyansh Deshmukh,Education,30%,25%,15%,30%,"2,000,000",0%,93%
Alia Kaur,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,89%
Vivaan Iyer,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,98%
Riaan Kohli,Security Hardware,20%,25%,30%,25%,"50,000,000",0%,96%
Kavya Gupta,Insurance,25%,30%,20%,25%,"100,000,000",0%,88%
Krishna Datta,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,94%
Divyansh Mannan,Appliances,22%,28%,25%,25%,"1,000,000,000",0%,88%
Ishaan Reddy,Technology Services,22%,28%,25%,25%,"100,000,000",0%,93%
Amaira Zacharia,Fishing,30%,30%,20%,20%,"100,000,000",0%,98%
Siddharth Patel,Insurance,25%,30%,20%,25%,"50,000,000",0%,99%
Rahul Thakur,Biomedical,25%,25%,25%,25%,"1,000,000",0%,89%
Fatima Zacharia,Other,25%,25%,25%,25%,0,0%,91%
Advik Puri,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,92%
Veer Kumar,Technology Services,22%,28%,25%,25%,"10,000,000",0%,88%
Veer Ranganathan,Insurance,25%,30%,20%,25%,"100,000,000",0%,89%
Riaan Lal,Biomedical,25%,25%,25%,25%,"5,000,000",0%,92%
Ivaan Kashyap,Construction,15%,25%,35%,25%,"50,000,000",0%,96%
Armaan Ahuja,Insurance,25%,30%,20%,25%,"50,000,000",0%,94%
Aahna Gill,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,94%
Naina Gandhi,Alcohol,20%,20%,30%,30%,"500,000",0%,93%
Advik Chopra,Healthcare,24%,26%,25%,25%,"5,000,000",0%,94%
Aditya Mannan,Mining,24%,26%,25%,25%,0,0%,93%
Aarohi Kohli,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,96%
Rudra Goel,Security Hardware,20%,25%,30%,25%,0,0%,93%
Rudra Dalal,Biotechnology,24%,26%,25%,25%,"100,000,000,000",0%,95%
Siddharth Ganguly,Software,23%,27%,25%,25%,"5,000,000",89%,48%
Ivaan Joshi,Automotive,20%,25%,30%,25%,"5,000,000",0%,95%
Anika Mangal,Agriculture,15%,20%,35%,30%,"50,000,000",0%,99%
Divyansh Goswami,Travel,20%,30%,30%,20%,"50,000,000",0%,90%
Samaira Pandey,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,96%
Fatima Iyer,Fishing,30%,30%,20%,20%,"100,000,000",0%,88%
Samaira Ganguly,Automotive,20%,25%,30%,25%,"5,000,000",0%,89%
Shaurya Bawa,Fishing,30%,30%,20%,20%,"500,000",0%,88%
Amaira Mannan,Automotive,20%,25%,30%,25%,"1,000,000",0%,94%
Krishna Amin,Agriculture,15%,20%,35%,30%,"50,000,000",0%,90%
Myra Chawla,Mining,24%,26%,25%,25%,0,0%,90%
Navya Gill,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,98%
Advik Bakshi,Security Hardware,20%,25%,30%,25%,"500,000",0%,89%
Rudra Dayal,Alcohol,20%,20%,30%,30%,"1,000,000",0%,93%
Siddharth Batra,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,96%
Arjun Ghosh,Banking,23%,27%,25%,25%,0,0%,98%
Riaan Haldar,Healthcare,24%,26%,25%,25%,"50,000,000",0%,91%
Mohammad Modi,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,98%
Shreya Dara,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,98%
Aditi Batra,Agriculture,15%,20%,35%,30%,"2,000,000",0%,98%
Mira Rao,Other,25%,25%,25%,25%,"1,000,000",0%,97%
Diya Biswas,Technology Services,22%,28%,25%,25%,"5,000,000",0%,93%
Aditya Apte,Financial Services,20%,28%,25%,25%,"5,000,000",0%,99%
Mira Banerjee,Appliances,22%,28%,25%,25%,"1,000,000",0%,99%
Diya Bhasin,Travel,20%,30%,30%,20%,"10,000,000",0%,93%
Diya Shah,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,88%
Naina Agarwal,Biotechnology,24%,26%,25%,25%,"500,000",0%,88%
Aditi Anand,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,93%
Arjun Bajwa,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,94%
Naina Chakrabarti,Security Hardware,20%,25%,30%,25%,0,0%,97%
Divyansh Laghari,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,98%
Rahul Basu,Agriculture,15%,20%,35%,30%,"100,000,000",0%,98%
Rahul Basu,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,89%
Kabir Burman,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,90%
Inaaya Patel,Banking,23%,27%,25%,25%,"10,000,000,000",0%,89%
Veer Jain,Healthcare,24%,26%,25%,25%,"5,000,000",0%,89%
Fatima Arya,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,90%
Aditya Parekh,Banking,23%,27%,25%,25%,"1,000,000",0%,99%
Inaaya Burman,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,96%
Aditi Pandey,Healthcare,24%,26%,25%,25%,"2,000,000",0%,98%
Samaira Puri,Mining,24%,26%,25%,25%,"5,000,000",0%,96%
Fatima Sharma,Software,23%,27%,25%,25%,"50,000,000",0%,96%
Armaan Dayal,Technology Services,22%,28%,25%,25%,"100,000,000",0%,99%
Samaira Bhasin,Technology Hardware,20%,25%,30%,25%,"5,000,000",99%,47%
Kabir Banerjee,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,92%
Kavya Patel,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,97%
Aditi Chopra,Appliances,22%,28%,25%,25%,"50,000,000",0%,91%
Arjun Mallick,Biotechnology,24%,26%,25%,25%,"5,000,000",0%,91%
Navya Anand,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,99%
Amaira Dhar,Mining,24%,26%,25%,25%,"100,000,000,000",0%,96%
Mohammad Deol,Construction,15%,25%,35%,25%,"1,000,000,000",0%,89%
Shreya Das,Mining,24%,26%,25%,25%,"1,000,000,000",0%,99%
Aashi  Sachdev,Fishing,30%,30%,20%,20%,0,0%,93%
Naina Kumar,Healthcare,24%,26%,25%,25%,"5,000,000",0%,94%
Advik Bhatt,Security Software,22%,28%,25%,25%,"5,000,000",0%,90%
Rudra Puri,Travel,20%,30%,30%,20%,"100,000,000,000",0%,96%
Aditya Datta,Medical Equipment,25%,25%,25%,25%,"500,000",0%,94%
Divyansh Arya,Biotechnology,24%,26%,25%,25%,"5,000,000",0%,99%
Sara Mallick,Insurance,25%,30%,20%,25%,"500,000",0%,95%
Diya Chowdhury,Education,30%,25%,15%,30%,"2,000,000",0%,95%
Samaira Dalal,Fishing,30%,30%,20%,20%,"100,000,000",0%,99%
Advik Dhawan,Construction,15%,25%,35%,25%,"1,000,000,000",0%,94%
Aditya Kulkarni,Biomedical,25%,25%,25%,25%,"1,000,000",0%,98%
Rudra Khatri,Fishing,30%,30%,20%,20%,"5,000,000",0%,92%
Armaan Biswas,Technology Services,22%,28%,25%,25%,"500,000",0%,91%
Mira Gill,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,95%
Vivaan Zacharia,Alcohol,20%,20%,30%,30%,"10,000,000",0%,89%
Ishaan Dalal,Software,23%,27%,25%,25%,"1,000,000",99%,0%
Armaan Arya,Other,25%,25%,25%,25%,"100,000,000",0%,95%
Kavya Dara,Financial Services,20%,28%,25%,25%,"50,000,000",0%,98%
Kabir Burman,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,93%
Aine O’Shea,Construction,15%,25%,35%,25%,"500,000",0%,99%
Padraig Martin,Agriculture,15%,20%,35%,30%,"1,000,000",0%,100%
Oonagh King,Education,30%,25%,15%,30%,0,0%,98%
Muireann Martin,Banking,23%,27%,25%,25%,"1,000,000",0%,99%
Donal O’Mahony,Fishing,30%,30%,20%,20%,"5,000,000",0%,89%
Cathal Keane,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,89%
Aine White,Financial Services,20%,28%,25%,25%,"100,000,000",0%,90%
Aoibh Flanagan,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,92%
Aoife Healy,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,90%
Sile Magee,Security Software,22%,28%,25%,25%,"5,000,000",0%,97%
Orla Kane,Education,30%,25%,15%,30%,"2,000,000",0%,88%
Fiona Ryan,Software,23%,27%,25%,25%,"50,000,000",0%,90%
Aoibhinn Sweeney,Insurance,25%,30%,20%,25%,0,0%,88%
Eabha Robinson,Construction,15%,25%,35%,25%,"1,000,000",0%,98%
Nuala Boyle,Appliances,22%,28%,25%,25%,0,0%,93%
Cathal Gallagher,Construction,15%,25%,35%,25%,"500,000",0%,94%
Aoibhe Brown,Construction,15%,25%,35%,25%,"500,000",0%,89%
Cormac O’Keeffe,Healthcare,24%,26%,25%,25%,"2,000,000",0%,93%
Grainne MacMahon,Security Hardware,20%,25%,30%,25%,0,0%,93%
Mairead Boyle,Other,25%,25%,25%,25%,"2,000,000",0%,96%
Shane Moran,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,95%
Roisin O’Doherty,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,93%
Shannon Daly,Automotive,20%,25%,30%,25%,0,0%,98%
Aoibhinn Smith,Financial Services,20%,28%,25%,25%,"10,000,000",0%,94%
Rian Buckley,Medical Equipment,25%,25%,25%,25%,0,0%,98%
Roisin O’Neill,Software,23%,27%,25%,25%,"2,000,000",99%,0%
Aoibhe Flynn,Technology Services,22%,28%,25%,25%,"1,000,000",0%,89%
Fiadh O’Reilly,Other,25%,25%,25%,25%,"500,000",0%,98%
Aoibhe Burke,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,89%
Ailbhe Kelly,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,89%
Roisin O’Dwyer,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,91%
Riona Kennedy,Biomedical,25%,25%,25%,25%,"100,000,000",0%,88%
Aidan Lyons,Automotive,20%,25%,30%,25%,"2,000,000",0%,91%
Aoibhinn Campbell,Fishing,30%,30%,20%,20%,"100,000,000",0%,90%
Nuala Quinn,Fishing,30%,30%,20%,20%,"50,000,000",0%,93%
Craig Hogan,Software,23%,27%,25%,25%,"10,000,000,000",0%,95%
Ronan Maher,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,100%
Cadhla Flynn,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,95%
Ronan Thompson,Technology Hardware,20%,25%,30%,25%,"100,000,000,000",0%,88%
Donnacha Ryan,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,95%
Odhran Murphy,Mining,24%,26%,25%,25%,"50,000,000",0%,88%
Conan Maher,Insurance,25%,30%,20%,25%,"5,000,000",0%,91%
Riona King,Fishing,30%,30%,20%,20%,0,0%,95%
Laoise Cunningham,Construction,15%,25%,35%,25%,"5,000,000",0%,97%
Brendan O’Callaghan,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,91%
Blathnaid O’Brien,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,94%
Cara Bell,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,91%
Niall Bell,Security Software,22%,28%,25%,25%,"50,000,000",0%,89%
Rory Burke,Agriculture,15%,20%,35%,30%,"100,000,000",0%,96%
Cillian Dunne,Mining,24%,26%,25%,25%,"100,000,000",0%,88%
Shannon Clarke,Insurance,25%,30%,20%,25%,"5,000,000",0%,92%
Sadhbh Donnelly,Alcohol,20%,20%,30%,30%,"1,000,000",0%,94%
Eoghan Graham,Education,30%,25%,15%,30%,"50,000,000",0%,94%
Aidan Power,Appliances,22%,28%,25%,25%,"500,000",0%,91%
Deirdre Sweeney,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,91%
Tadhg O’Reilly,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,97%
Saoirse Moore,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,93%
Finn Martin,Technology Services,22%,28%,25%,25%,"5,000,000",0%,95%
Cliodhna Daly,Biomedical,25%,25%,25%,25%,"500,000",0%,91%
Donnacha Hayes,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,99%
Brandon Maguire,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,95%
Orla Moore,Insurance,25%,30%,20%,25%,"50,000,000",0%,93%
Caolan O’Sullivan,Travel,20%,30%,30%,20%,"2,000,000",0%,95%
Muireann Sheehan,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,96%
Lorcan Murphy,Mining,24%,26%,25%,25%,"5,000,000",0%,88%
Conan Keane,Security Software,22%,28%,25%,25%,"10,000,000",0%,89%
Aoibhe O’Doherty,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,92%
Darragh Whelan,Security Software,22%,28%,25%,25%,"1,000,000",0%,98%
Fionnuala Moore,Banking,23%,27%,25%,25%,0,0%,89%
Killian MacDonald,Construction,15%,25%,35%,25%,"100,000,000,000",0%,91%
Caragh Martin,Education,30%,25%,15%,30%,"100,000,000",0%,89%
Mairead Stewart,Banking,23%,27%,25%,25%,"1,000,000",0%,91%
Finn Sweeney,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,90%
Aodhan Nolan,Education,30%,25%,15%,30%,"500,000",0%,91%
Caragh MacNamara,Oil and Gas,25%,25%,25%,25%,"500,000",0%,90%
Fionn Mullan,Travel,20%,30%,30%,20%,"100,000,000",0%,98%
Rory Whelan,Agriculture,15%,20%,35%,30%,"50,000,000",0%,89%
Sinead Brennan,Software,23%,27%,25%,25%,"10,000,000,000",0%,99%
Cliodhna Daly,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,94%
Imogen White,Other,25%,25%,25%,25%,"10,000,000,000",0%,98%
Aoife O’Rourke,Mining,24%,26%,25%,25%,"100,000,000",0%,99%
Fergal Kelly,Software,23%,27%,25%,25%,"500,000",95%,0%
Padraig Byrne,Other,25%,25%,25%,25%,"1,000,000",0%,94%
Cathal MacNamara,Travel,20%,30%,30%,20%,"1,000,000",0%,97%
Shay Brown,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,90%
Meabh Collins,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,98%
Dara Lyons,Security Software,22%,28%,25%,25%,"500,000",0%,98%
Aoibheann Byrne,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,88%
Muireann Power,Education,30%,25%,15%,30%,"50,000,000",0%,93%
Oisin Stewart,Mining,24%,26%,25%,25%,"100,000,000",0%,90%
Cathal O’Doherty,Travel,20%,30%,30%,20%,"100,000,000,000",0%,96%
Ciara Hogan,Software,23%,27%,25%,25%,"500,000",93%,0%
Oisin O’Doherty,Banking,23%,27%,25%,25%,"50,000,000",0%,94%
Bronagh Burns,Travel,20%,30%,30%,20%,0,0%,93%
Brandon Reid,Oil and Gas,25%,25%,25%,25%,"500,000",0%,92%
Clodagh Collins,Technology Services,22%,28%,25%,25%,"2,000,000",0%,98%
Oonagh Clarke,Construction,15%,25%,35%,25%,"500,000",0%,89%
Sile Ryan,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,93%
Siobhan McDonnell,Alcohol,20%,20%,30%,30%,"500,000",0%,92%
Aoibheann Whelan,Security Software,22%,28%,25%,25%,"50,000,000",0%,94%
Valerius Gatti,Automotive,20%,25%,30%,25%,0,0%,89%
Sara De Niro,Biomedical,25%,25%,25%,25%,"100,000,000",0%,95%
Daniel Conte,Banking,23%,27%,25%,25%,"500,000",0%,100%
Federico Donato,Mining,24%,26%,25%,25%,"1,000,000",0%,88%
Emily Baio,Construction,15%,25%,35%,25%,"100,000,000,000",0%,91%
Mia Greco,Security Software,22%,28%,25%,25%,"100,000,000",0%,92%
Diego Testa,Travel,20%,30%,30%,20%,"2,000,000",0%,97%
Arianna Guerra,Other,25%,25%,25%,25%,"5,000,000",0%,94%
Luigi Fontana,Insurance,25%,30%,20%,25%,"1,000,000",0%,99%
Valerius Porzio,Insurance,25%,30%,20%,25%,0,0%,99%
Edoardo Giordano,Other,25%,25%,25%,25%,"10,000,000",0%,93%
Mattia Moriotto,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,94%
Emanuele Greco,Banking,23%,27%,25%,25%,"10,000,000,000",0%,96%
Arianna Romano,Banking,23%,27%,25%,25%,0,0%,89%
Riccardo Ferrari,Financial Services,20%,28%,25%,25%,"100,000,000",0%,98%
Greta Capone,Travel,20%,30%,30%,20%,"100,000,000",0%,90%
Jacopo Romano,Construction,15%,25%,35%,25%,"100,000,000",0%,95%
Beatrice Ferrari,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,92%
Ludovica Ajello,Banking,23%,27%,25%,25%,"100,000,000,000",0%,98%
Nicole Monti,Travel,20%,30%,30%,20%,"100,000,000",0%,95%
Christian Greco,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,94%
Giacomo Barberio,Alcohol,20%,20%,30%,30%,"50,000,000",0%,89%
Anna Di Caprio,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,93%
Abramo De Niro,Education,30%,25%,15%,30%,"100,000,000,000",0%,97%
Benedetta Giordano,Other,25%,25%,25%,25%,"100,000,000",0%,95%
Franco Longo,Medical Equipment,25%,25%,25%,25%,"10,000,000",0%,96%
Nicole Colombo,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,90%
Antonio Guiluliani,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,92%
Aurora Mazza,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,89%
Mia Monti,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,93%
Ginerva Bernardi,Banking,23%,27%,25%,25%,"2,000,000",0%,95%
Luca Accetta,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,97%
Beatrice Ajello,Healthcare,24%,26%,25%,25%,"500,000",0%,99%
Elisa Costa,Agriculture,15%,20%,35%,30%,"5,000,000",0%,97%
Edoardo Piazza,Construction,15%,25%,35%,25%,"100,000,000",0%,90%
Viola Gentile,Financial Services,20%,28%,25%,25%,"5,000,000",0%,94%
Giulia Bernardi,Fishing,30%,30%,20%,20%,"500,000",0%,92%
Marta Grasso,Biomedical,25%,25%,25%,25%,0,0%,92%
Giacomo Pesci,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,94%
Leonardo Allegro,Security Hardware,20%,25%,30%,25%,"50,000,000",0%,96%
Miriam Giudice,Banking,23%,27%,25%,25%,0,0%,91%
Carlotta Esposito,Healthcare,24%,26%,25%,25%,"50,000,000",0%,94%
Giorgia Gallo,Security Software,22%,28%,25%,25%,"2,000,000",0%,91%
Anita Ferrari,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,92%
Andrea Piazza,Construction,15%,25%,35%,25%,"100,000,000",0%,89%
Giada Armani,Healthcare,24%,26%,25%,25%,"50,000,000",0%,95%
Beatrice Gatti,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,96%
Maria Abella,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,97%
Alessio Gallo,Automotive,20%,25%,30%,25%,"50,000,000",0%,98%
Nathan Romano,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,94%
Anna Abella,Automotive,20%,25%,30%,25%,"1,000,000",0%,94%
Miriam Giordano,Banking,23%,27%,25%,25%,"500,000",0%,95%
Maria Cattaneo,Software,23%,27%,25%,25%,"10,000,000,000",0%,92%
Elena Mariano,Security Hardware,20%,25%,30%,25%,"500,000",0%,96%
Filippo Donato,Security Hardware,20%,25%,30%,25%,0,0%,97%
Salvatore Barberio,Pharmaceuticals,25%,25%,25%,25%,"10,000,000",0%,97%
Lorenzo Accardi,Software,23%,27%,25%,25%,"2,000,000",89%,0%
Sara Colombo,Appliances,22%,28%,25%,25%,"10,000,000",0%,93%
Marco Farina,Security Hardware,20%,25%,30%,25%,0,0%,94%
Marta Gentile,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,100%
Alice Baio,Agriculture,15%,20%,35%,30%,"100,000,000,000",0%,91%
Maria Baio,Software,23%,27%,25%,25%,"5,000,000",91%,48%
Irene Leone,Financial Services,20%,28%,25%,25%,"1,000,000,000",0%,91%
Federico Floris,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,97%
Emily Lastra,Healthcare,24%,26%,25%,25%,"10,000,000",0%,92%
Mia Gallo,Education,30%,25%,15%,30%,"1,000,000,000",0%,93%
Bianca Bernardi,Software,23%,27%,25%,25%,"1,000,000",100%,0%
Tommaso Manzo,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,90%
Alessio Barone,Insurance,25%,30%,20%,25%,0,0%,94%
Caterina Bernardi,Automotive,20%,25%,30%,25%,"1,000,000",0%,90%
Carlotta Porzio,Travel,20%,30%,30%,20%,0,0%,91%
Gioele Giordano,Agriculture,15%,20%,35%,30%,"1,000,000",0%,89%
Vincenzo Conte,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,92%
Martina Guerra,Software,23%,27%,25%,25%,"10,000,000",0%,99%
Domenico Giordano,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,91%
Martina Bianchi,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,89%
Martina Donato,Biotechnology,24%,26%,25%,25%,"1,000,000",0%,89%
Elena Mancini,Education,30%,25%,15%,30%,"10,000,000,000",0%,95%
Gaia Lombardi,Software,23%,27%,25%,25%,"1,000,000,000",0%,94%
Davide Guiluliani,Mining,24%,26%,25%,25%,"10,000,000",0%,100%
Azzurra Carbone,Banking,23%,27%,25%,25%,"500,000",0%,90%
Antonio Sala,Fishing,30%,30%,20%,20%,"50,000,000",0%,93%
Nathan Piazza,Education,30%,25%,15%,30%,"2,000,000",0%,94%
Davide Giudice,Banking,23%,27%,25%,25%,"5,000,000",0%,90%
Nicola Farina,Biomedical,25%,25%,25%,25%,"50,000,000",0%,92%
Luca Ricci,Appliances,22%,28%,25%,25%,"50,000,000",0%,93%
Vittoria Moriotto,Banking,23%,27%,25%,25%,"10,000,000,000",0%,88%
Antonio Conte,Oil and Gas,25%,25%,25%,25%,0,0%,90%
Gabriel Giordano,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,99%
Arianna Giordano,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,96%
Eva D’Angelo,Education,30%,25%,15%,30%,"50,000,000",0%,99%
Giacomo Marino,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,93%
Camilla Mazza,Construction,15%,25%,35%,25%,"500,000",0%,92%
Luca Grasso,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,99%
Eva Moriotto,Construction,15%,25%,35%,25%,"100,000,000",0%,95%
Alessandro Leone,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,96%
Mia Coppola,Other,25%,25%,25%,25%,"100,000,000",0%,100%
Federico Grasso,Agriculture,15%,20%,35%,30%,0,0%,94%
Samuel Carbone,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,90%
Daniel Martini,Banking,23%,27%,25%,25%,"100,000,000,000",0%,94%
Keisuke Yokoyama,Automotive,20%,25%,30%,25%,"2,000,000",0%,97%
Junichiro Otsuka,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,97%
Yuriko Endo,Appliances,22%,28%,25%,25%,0,0%,99%
Shoko Ikeda,Banking,23%,27%,25%,25%,"10,000,000,000",0%,100%
Benjiro Mori,Banking,23%,27%,25%,25%,"10,000,000,000",0%,96%
Rini Takeuchi,Mining,24%,26%,25%,25%,"10,000,000",0%,97%
Minato Ishii,Biomedical,25%,25%,25%,25%,"5,000,000",0%,97%
Emica Takahashi,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,95%
Ren Maeda,Banking,23%,27%,25%,25%,"100,000,000",0%,92%
Oda Chiba,Travel,20%,30%,30%,20%,"50,000,000",0%,92%
Akio Yamaguchi,Alcohol,20%,20%,30%,30%,"10,000,000",0%,92%
Keiko Hirano,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,93%
Itsuki Onishi,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,88%
Masumi Yamazaki,Automotive,20%,25%,30%,25%,"500,000",0%,91%
Seijun Kobayashi,Appliances,22%,28%,25%,25%,"1,000,000",0%,95%
Mako Kaneko,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,92%
Minato Yamaguchi,Medical Equipment,25%,25%,25%,25%,"500,000",0%,92%
Chimon Onishi,Software,23%,27%,25%,25%,"100,000,000",0%,90%
Ichigo Takahashi,Other,25%,25%,25%,25%,"50,000,000",0%,93%
Hiromi Hasegawa,Technology Services,22%,28%,25%,25%,"50,000,000",0%,93%
Tsubasa Ohno,Insurance,25%,30%,20%,25%,"500,000",0%,93%
Hachi Nishimura,Fishing,30%,30%,20%,20%,"5,000,000",0%,90%
Chimon Yamazaki,Automotive,20%,25%,30%,25%,"50,000,000",0%,93%
Bashira Matsui,Medical Equipment,25%,25%,25%,25%,"500,000",0%,100%
Goro Fujii,Alcohol,20%,20%,30%,30%,0,0%,96%
Doi Matsuda,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,92%
Botan Hashimoto,Financial Services,20%,28%,25%,25%,"1,000,000,000",0%,99%
Enmei Imai,Pharmaceuticals,25%,25%,25%,25%,0,0%,92%
Rai Kondo,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,97%
Momo Yokoyama,Appliances,22%,28%,25%,25%,0,0%,92%
Ren Harada,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,96%
Minato Hayashi,Travel,20%,30%,30%,20%,"100,000,000,000",0%,96%
Rika Maruyama,Mining,24%,26%,25%,25%,"1,000,000,000",0%,93%
Fuji Ogawa,Education,30%,25%,15%,30%,"10,000,000",0%,94%
Ruqa Hashimoto,Construction,15%,25%,35%,25%,"2,000,000",0%,92%
Genkei Harada,Automotive,20%,25%,30%,25%,"100,000,000",0%,90%
Megumi Suzuki,Healthcare,24%,26%,25%,25%,0,0%,98%
Itsuki Sasaki,Security Software,22%,28%,25%,25%,"2,000,000",0%,92%
Daiki Kojima,Other,25%,25%,25%,25%,"5,000,000",0%,93%
Ruqa Takeuchi,Agriculture,15%,20%,35%,30%,"1,000,000",0%,97%
Asahi Imai,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,95%
Kenji Goto,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,89%
Asa Kondo,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,92%
Daisuke Suzuki,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,99%
Chimon Goto,Education,30%,25%,15%,30%,"10,000,000,000",0%,92%
